Titulo,Rating,Genero,Descripcion,Link,Duracion
Daria,TV-PG,Comedia,"Daria Morgendorfferr es una chica inteligente y cínica que se encuentra atravesando la vida de la adolescencia, donde deberá encontrarse con adolescentes estereotipados de la Preparatoria Lawndale y con adultos condecentes y estresados.",https://pluto.tv/latam/on-demand/series/5e20986b370805f4c87911aa/details,5 Temporadas Disponibles
El peso del amor,PG-13,Romance,"Cuando su novio de quince años termina con ella por subir de peso, Kang Joo-Eun recibe ayuda de Kim Young-Ho, un entrenador personal increíblemente perfecto, para ponerse en forma y cambiar su vida.",https://pluto.tv/latam/on-demand/series/623df67e7936240013148790/details,1 Temporada disponible
Los archivos del FBI,TV-14,Crimen,"Producido con la cooperación total del Buró Federal de Investigaciones, Los archivos del FBI dan una mirada semanal a cómo el FBI utiliza la ciencia forense y la determinación absoluta de los investigadores para resolver los casos.",https://pluto.tv/latam/on-demand/series/5e504c3a9018b9c443cb4551/details,7 Temporadas Disponibles
Shameless,TV-MA,Comedia,"Conoce a la familia Gallagher mientras experimentan la vida al límite en una maraña de aventuras sexuales, triunfos, amores, estafas y ofensas menores en Manchester. Y da gracias a Dios porque no son tus vecinos.",https://pluto.tv/latam/on-demand/series/609d6d6e0c3a580013e3cbf7/details,6 Temporadas Disponibles
Cumbres Borrascosas,PG-13,Drama,"Basada en la novela de Emily Brontë, Wuthering Heigts, cuenta la historia de un joven rebelde y salvaje que llega a La Borrasca para cambiar la vida de los propietarios, especialmente la de Catherine. Entre ellos nace un amor que va más allá de la muerte.",https://pluto.tv/latam/on-demand/series/65ce5d04a3a8580013c4ec31/details,1 Temporada disponible
Naruto,TV-14,Anime,"La Aldea Escondida en las Hojas es el hogar del ninja más sigiloso de la tierra. Pero doce años antes, un temible zorro de nueve colas aterrorizó a la aldea antes de que fuera sometida y su espíritu sellado dentro del cuerpo de un bebé: ¡Naruto Uzumaki!",https://pluto.tv/latam/on-demand/series/5e73b850e40c9f001a0a9fb4/details,4 Temporadas Disponibles
Suburbios - Mujeres al Borde,TV-PG,Drama,"Cinco mujeres, cuyo mayor desafío hasta ahora ha sido sobrevivir a sus recorridos diarios de compras de lujo de una hora de duración quemando las tarjetas de crédito de sus maridos.",https://pluto.tv/latam/on-demand/series/640796585c57fb0013602481/details,1 Temporada disponible
Healer,PG-13,Romance,"Un popular reportero, una periodista que trabaja para un diario de segunda categoría y un misterioso mensajero, se embarcan en una insólita travesía para descubrir qué sucedió años atrás mientras un grupo de amigos operaban una radio emisora pirata.",https://pluto.tv/latam/on-demand/series/623b294825269a0013a925f0/details,1 Temporada disponible
Yu-Gi-Oh!,TV-Y7,Anime,"Yu-Gi-Oh! Sigue las aventuras del estudiante de secundaria Yugi, quien tiene un secreto mágico que cobra vida cuando juega su juego de cartas favorito: 'Duel Monsters'.",https://pluto.tv/latam/on-demand/series/5f19972aefe562001369966c/details,5 Temporadas Disponibles
Continuum,TV-14,Sci-Fi y Fantasía,Kiera Cameron es una policía del futuro atrapada en el actual Vancouver. Kiera debe sobrevivir en nuestro período de tiempo y evitar que los terroristas alteren la historia lo suficiente como para cambiar el curso del futuro.,https://pluto.tv/latam/on-demand/series/5f43dc979dd795001ab4ad3f/details,1 Temporada disponible
