Titulo,Rating,Genero,Descripcion,Link,Duracion
En el nombre del padre,TV-14,Drama,"Maggie es una adolescente que vive bajo las reglas de su padre, un fanático religioso. La llegada de tres jóvenes a su remota granja hace temblar sus ciegas creencias, mientras su padre hará todo lo posible por mantener el control sobre la familia.",https://pluto.tv/latam/on-demand/movies/62b9eb692fbef400138a78e3/details,1hr 34 min
Los intrusos,PG-13,Terror,"Con Maisie Williams. Un grupo de amigos cree haber realizado el robo perfecto: la casa de una pareja de ancianos de viaje. Pero la pareja regresa temprano, y la situación se sale de control y se vuelve cada vez más espeluznante.",https://pluto.tv/latam/on-demand/movies/63d414bd200a670013670273/details,1hr 32 min
Siervos de la guerra,TV-14,Thriller,"Dos policías intentan resolver el asesinato de un médico. Poco a poco, descubren una maraña de corrupción, un lucrativo comercio de órganos humanos y ADN.",https://pluto.tv/latam/on-demand/movies/62138b6933b8100013bb6dc2/details,1hr 42 min
Yo amo a Shakey,PG,Familia,"JT O’Neil, con su hija de 10 años, y su devoto perro Shakey se mudan a una pequeña ciudad de Chicago y al no leer la letra pequeña de su contrato de alquiler, JT se ve obligado a tratar de deshacerse de su perro.",https://pluto.tv/latam/on-demand/movies/5f3fd896ad190c001a52e6da/details,1hr 42 min
El enviado de Dios,PG,Drama,La llegada de un perro a una familia en sufrimiento trae consuelo y compañía a un niño de 9 años y a un matrimonio dañado.,https://pluto.tv/latam/on-demand/movies/649c887f12c80e0013cd1b9b/details,1hr 27 min
El precio del perdón,R,Drama,"Un viudo que pierde la custodia de su hija también pierde su empleo. Así que acepta conducir un camión por todo el país, sin hacer preguntas. Pero su vida cambiará cuando él descubre lo que transporta.",https://pluto.tv/latam/on-demand/movies/63d414ba200a6700136701d5/details,1hr 39 min
Hasta el final,TV-14,Terror,Un padre decide llevar a su hija de campamento para mejorar su relación cuando son sorprendidos por el apocalipsis zombi. Ahora hará cualquier cosa para escapar de la horda de muertos y salvar a su familia.,https://pluto.tv/latam/on-demand/movies/62b9eb642fbef400138a78aa/details,1hr 25 min
Trumbo: la lista negra,TV-MA,Drama,"Con la ganadora del Oscar Helen Mirren y los nominado al Oscar Bryan Cranston y Diane Lane. En 1947, Trumbo era el guionista más exitoso de Hollywood, pero pasó a la lista negra de la industria cinematográfica y fue arrestado por sus ideas políticas.",https://pluto.tv/latam/on-demand/movies/62138b5d33b8100013bb6cce/details,2hr 4 min
Terror en el aire,PG-13,Drama,"Basado en un accidente de avión real. Cuando el parabrisas de un avión comercial se rompe a 30.000 pies, un piloto y su tripulación harán cualquier cosa para garantizar la seguridad de los pasajeros y aterrizar el avión.",https://pluto.tv/latam/on-demand/movies/63d414b0200a670013670004/details,1hr 21 min
Inmersión,TV-G,Romance,"Un encuentro casual en una playa francesa llevá un joven militar y una científica a vivir un romance intenso y duradero. Separados, y contemplando su posible muerte, el recuerdo mutuo los ayudará a ver belleza en la oscuridad.",https://pluto.tv/latam/on-demand/movies/6346d28ccba1290014d863d0/details,1hr 51 min
Efecto flashback,R,Thriller,"En este thriller psicológico protagonizado por Dylan O’Brien (The Maze Runner), Fred protagoniza extraños flashbacks. Tratando de armar este rompecabezas, se embarca en un viaje al pasado a través de las dimensiones de su memoria.",https://pluto.tv/latam/on-demand/movies/649c886c12c80e0013cd187e/details,1hr 37 min
Sin rastro alguno,TV-14,Drama,"Tras la muerte de su mujer, un policía deja la profesión para cuidar de su hija. Trabaja limpiando escenas de crímenes, pero un día, esa tarea rutinaria termina amenazando la vida estable que ha construido para su familia.",https://pluto.tv/latam/on-demand/movies/62138b4d33b8100013bb6b91/details,1hr 29 min
Cake: Una razón para vivir,TV-14,Drama,"Claire es una mujer que sufre un dolor crónico, y se obsesiona con el suicidio de una compañera de su grupo de terapia, Nina, a la vez que inicia una relación con el viudo de ésta, Roy.",https://pluto.tv/latam/on-demand/movies/6256d75fbacbfb0013c1ae6f/details,1hr 41 min
Identidad alterada,R,Acción y Aventura,"Al ser confundido con un agente de la CIA involucrado en el robo de un experimento militar, a Dean le inyectan una droga que provoca alucinaciones. Ahora su novia y un detective tienen solo seis horas para encontrar el antídoto y salvarle la vida.",https://pluto.tv/latam/on-demand/movies/649c886812c80e0013cd17e1/details,1hr 36 min
Avalancha: Desastre en la montaña,PG-13,Acción y Aventura,"Basado en hechos reales. Por primera vez, los escaladores chinos ascienden al Monte Everest desde la cara norte, conocida como el lado más desafiante de la montaña. El peligroso viaje los obliga a tomar decisiones de vida o muerte en todo momento.",https://pluto.tv/latam/on-demand/movies/63d414b6200a670013670138/details,1hr 56 min
El cazador de recompensas,TV-14,Western,"Atormentado por los horrores de la Guerra Civil, un ex soldado se gana la vida como cazarrecompensas. Cuando dos niños acuden a pedirle ayuda, el viejo vaquero deberá enfrentarse a su pasado y capturar a un viejo enemigo.",https://pluto.tv/latam/on-demand/movies/6256d79cbacbfb0013c1b0cd/details,2hr 19 min
Reflejos siniestros,PG-13,Terror,"Los estudiantes de un prestigioso internado se convierten en las próximas víctimas de la Reina de Espadas cuando juegan con un espejo que concede deseos, sin saber que el precio de los deseos es su alma.",https://pluto.tv/latam/on-demand/movies/63d414c0200a670013670311/details,1hr 23 min
Un pasado imborrable,R,Drama,"Un ex oficial del ejército británico, que fue torturado como prisionero de guerra durante la Segunda Guerra Mundial, descubre que el soldado japonés que tanto lo maltrató sigue vivo y se dispone a confrontarlo.",https://pluto.tv/latam/on-demand/movies/62cc54454f12bb00136640c9/details,1hr 56 min
Scream 4,TV-14,Terror,"Con terapia y ayuda, la joven Sidney Prescott (Neve Campbell) ha conseguido dejar atrás todas las muertes que contempló años atrás en su pueblo natal, Woodsboro.",https://pluto.tv/latam/on-demand/movies/5f7b872be4b56900138b7983/details,1hr 51 min
Delirio,R,Thriller,"Con Ben Whishaw. Joseph es un guardia de seguridad del aeropuerto solitario atrapado en una vida sin propósito. En un impulsivo acto de rebelión, da rienda suelta a su ser más salvaje y vivirá un día furioso en las calles de Londres.",https://pluto.tv/latam/on-demand/movies/649c887012c80e0013cd191b/details,1hr 39 min
