Titulo,Rating,Genero,Descripcion,Temporadas,Link,Titulo Capitulo,Episodio,Duracion,Descripcion Capitulo,Link Capitulo
The Lost Room,TV-PG,Sci-Fi y Fantasía,"Un detective (Peter Krause) investiga la misteriosa habitación de un motel, que actúa como un portal a un universo alternativo.",1 Temporada disponible,https://pluto.tv/latam/on-demand/series/650b116e6930bb00136f67a5/details,La llave,T1E1,43 min,"El detective Joe Miller investiga un caso que involucra a dos hombres que fueron hallados calcinados en una casa de empeño, relacionado con una llave misteriosa y un trato que salió mal.",https://pluto.tv/latam/on-demand/series/650b116e6930bb00136f67a5/details
The Lost Room,TV-PG,Sci-Fi y Fantasía,"Un detective (Peter Krause) investiga la misteriosa habitación de un motel, que actúa como un portal a un universo alternativo.",1 Temporada disponible,https://pluto.tv/latam/on-demand/series/650b116e6930bb00136f67a5/details,El reloj,T1E2,42 min,"Después de recibir la llave, Joe descubre que, al igual que ella, hay cerca de cien objetos con poderes sobrenaturales y una conexión a una oculta habitación de motel.",https://pluto.tv/latam/on-demand/series/650b116e6930bb00136f67a5/details
The Lost Room,TV-PG,Sci-Fi y Fantasía,"Un detective (Peter Krause) investiga la misteriosa habitación de un motel, que actúa como un portal a un universo alternativo.",1 Temporada disponible,https://pluto.tv/latam/on-demand/series/650b116e6930bb00136f67a5/details,El peine,T1E3,43 min,"Joe Miller está prófugo después de ser incriminado por el asesinato de su compañero. Une fuerzas con Jennifer Bloom, miembro de la Legión, para encontrar el Objeto que lo ayude a encontrar a su hija, Anna.",https://pluto.tv/latam/on-demand/series/650b116e6930bb00136f67a5/details
The Lost Room,TV-PG,Sci-Fi y Fantasía,"Un detective (Peter Krause) investiga la misteriosa habitación de un motel, que actúa como un portal a un universo alternativo.",1 Temporada disponible,https://pluto.tv/latam/on-demand/series/650b116e6930bb00136f67a5/details,El estuche,T1E4,43 min,En el camino se enteran del misterioso pasado de la Habitación. Martin Ruber busca un objeto para hacerse miembro de la Orden de la Reunificación.,https://pluto.tv/latam/on-demand/series/650b116e6930bb00136f67a5/details
The Lost Room,TV-PG,Sci-Fi y Fantasía,"Un detective (Peter Krause) investiga la misteriosa habitación de un motel, que actúa como un portal a un universo alternativo.",1 Temporada disponible,https://pluto.tv/latam/on-demand/series/650b116e6930bb00136f67a5/details,El ojo,T1E5,43 min,"En la noche final y culminante de The Lost Room, Joe usa todos sus recursos y alianzas en su misión para encontrar el Objeto Principal y salvar a su hija.",https://pluto.tv/latam/on-demand/series/650b116e6930bb00136f67a5/details
The Lost Room,TV-PG,Sci-Fi y Fantasía,"Un detective (Peter Krause) investiga la misteriosa habitación de un motel, que actúa como un portal a un universo alternativo.",1 Temporada disponible,https://pluto.tv/latam/on-demand/series/650b116e6930bb00136f67a5/details,El huésped,T1E6,43 min,"Kreutzfeld, Jennifer, Wally y la Comadreja hacen su parte, y uno de ellos finalmente traiciona a Joe y pone en marcha una cadena de eventos que podría acabar catastróficamente con el mundo tal como lo conocemos.",https://pluto.tv/latam/on-demand/series/650b116e6930bb00136f67a5/details
Shameless,TV-MA,Comedia,"Conoce a la familia Gallagher mientras experimentan la vida al límite en una maraña de aventuras sexuales, triunfos, amores, estafas y ofensas menores en Manchester. Y da gracias a Dios porque no son tus vecinos.",6 Temporadas Disponibles,https://pluto.tv/latam/on-demand/series/609d6d6e0c3a580013e3cbf7/details,Conoce a los Gallaghers,T1E1,49 min,Que le roben el bolso resulta ser una bendición disfrazada para Fiona cuando el apuesto desconocido Steve la rescata. Lip descubre que Ian es gay y decide que el debería visitar a Karen Jackson.,https://pluto.tv/latam/on-demand/series/609d6d6e0c3a580013e3cbf7/details
Shameless,TV-MA,Comedia,"Conoce a la familia Gallagher mientras experimentan la vida al límite en una maraña de aventuras sexuales, triunfos, amores, estafas y ofensas menores en Manchester. Y da gracias a Dios porque no son tus vecinos.",6 Temporadas Disponibles,https://pluto.tv/latam/on-demand/series/609d6d6e0c3a580013e3cbf7/details,Vamos a la luna,T1E2,48 min,"Nadie sabe dónde está Frank. Cuando se encuentra un cuerpo en el canal, la familia entra en pánico, pero Frank aparece en Calais, sin pasaporte y sin idea de cómo llegó allí.",https://pluto.tv/latam/on-demand/series/609d6d6e0c3a580013e3cbf7/details
Shameless,TV-MA,Comedia,"Conoce a la familia Gallagher mientras experimentan la vida al límite en una maraña de aventuras sexuales, triunfos, amores, estafas y ofensas menores en Manchester. Y da gracias a Dios porque no son tus vecinos.",6 Temporadas Disponibles,https://pluto.tv/latam/on-demand/series/609d6d6e0c3a580013e3cbf7/details,Nos Vamos a Casar,T1E3,48 min,"Es viernes por la noche en The Jockey y el cantinero Kev está lidiando con las habituales mujeres borrachas que buscan pareja. Cuando una pasa de la raya, le dice que se va a casar.",https://pluto.tv/latam/on-demand/series/609d6d6e0c3a580013e3cbf7/details
Shameless,TV-MA,Comedia,"Conoce a la familia Gallagher mientras experimentan la vida al límite en una maraña de aventuras sexuales, triunfos, amores, estafas y ofensas menores en Manchester. Y da gracias a Dios porque no son tus vecinos.",6 Temporadas Disponibles,https://pluto.tv/latam/on-demand/series/609d6d6e0c3a580013e3cbf7/details,Secuestro,T1E4,47 min,"Cuando un niño desaparece de una fiesta infantil en la propiedad de Chatsworth, Frank convierte a la multitud en una turba de linchadores.",https://pluto.tv/latam/on-demand/series/609d6d6e0c3a580013e3cbf7/details
Shameless,TV-MA,Comedia,"Conoce a la familia Gallagher mientras experimentan la vida al límite en una maraña de aventuras sexuales, triunfos, amores, estafas y ofensas menores en Manchester. Y da gracias a Dios porque no son tus vecinos.",6 Temporadas Disponibles,https://pluto.tv/latam/on-demand/series/609d6d6e0c3a580013e3cbf7/details,Relaciones,T1E5,45 min,"Frank y Karen salen a la carretera para recibir lecciones de manejo, pero Karen agrega algunas maniobras extracurriculares al horario. Mientras tanto, Ian y Kash son atrapados con las manos en la masa por la esposa de Kash, Yvonne.",https://pluto.tv/latam/on-demand/series/609d6d6e0c3a580013e3cbf7/details
Shameless,TV-MA,Comedia,"Conoce a la familia Gallagher mientras experimentan la vida al límite en una maraña de aventuras sexuales, triunfos, amores, estafas y ofensas menores en Manchester. Y da gracias a Dios porque no son tus vecinos.",6 Temporadas Disponibles,https://pluto.tv/latam/on-demand/series/609d6d6e0c3a580013e3cbf7/details,Monica Vuelve a casa (parte 1 de 2),T1E6,48 min,"Los cobradores de deudas rodean a los Gallagher, pero Frank tiene algo más en mente: un plan para obtener manutención infantil de su ex esposa y madre de sus hijos.",https://pluto.tv/latam/on-demand/series/609d6d6e0c3a580013e3cbf7/details
Shameless,TV-MA,Comedia,"Conoce a la familia Gallagher mientras experimentan la vida al límite en una maraña de aventuras sexuales, triunfos, amores, estafas y ofensas menores en Manchester. Y da gracias a Dios porque no son tus vecinos.",6 Temporadas Disponibles,https://pluto.tv/latam/on-demand/series/609d6d6e0c3a580013e3cbf7/details,Muerto (Parte 2 de 2),T1E7,47 min,"Frank solo se preocupa por sí mismo, como siempre, y las cosas no van bien. El departamento de vivienda está detrás de él, sus deudas se están acumulando y los alguaciles todavía están en la puerta.",https://pluto.tv/latam/on-demand/series/609d6d6e0c3a580013e3cbf7/details
Sin tetas no hay paraíso (ESP),TV-PG,Telenovela,"Cata y ""El Duque"", un romance lleno de intrigas y obstáculos. Ella, una joven estudiante de 17 años mientras que él es uno de los narcotraficantes más famosos.",3 Temporadas Disponibles,https://pluto.tv/latam/on-demand/series/609e9d0641fc48001327cce7/details,Episodio 1,T1E1,43 min,"Ante la muerte de su esposo Vicente a manos de la guerrilla, Francisca, su hermano y su hijo se suman a la larga lista de desplazados en Colombia.",https://pluto.tv/latam/on-demand/series/609e9d0641fc48001327cce7/details
Sin tetas no hay paraíso (ESP),TV-PG,Telenovela,"Cata y ""El Duque"", un romance lleno de intrigas y obstáculos. Ella, una joven estudiante de 17 años mientras que él es uno de los narcotraficantes más famosos.",3 Temporadas Disponibles,https://pluto.tv/latam/on-demand/series/609e9d0641fc48001327cce7/details,Episodio 2,T1E2,41 min,"Entretanto Jessica y 4 de sus amigas, Cris, Vanesa, Paula y Catalina llegan a la casa de Rafael Duque, en donde se está realizando una fiesta en honor a el narcotraficante Cardona.",https://pluto.tv/latam/on-demand/series/609e9d0641fc48001327cce7/details
